hotfix,1,0,1,-0.844502448052
culture,10,6,2,-0.140019020415
wants,476,349,92,0.588994592366
premier,5,5,0,0.642652092905
transport,42,34,5,0.751404716781
commiter,1,1,0,0.287402457587
ian,1,1,0,0.287402457587
asin,4,4,0,0.574805358479
impressively,11,8,1,0.321044445697
ruckus,5,5,0,0.642652092905
tighten,5,1,4,-1.41660939775
flywheel,4,2,1,-0.262301070495
investigations,1,0,1,-0.844502448052
unworking,1,0,1,-0.844502448052
awkardness,2,1,0,0.0704508703826
inadvertantly,10,7,3,-0.197831879502
prokofyev,2,0,0,-0.341152709085
slouch,5,3,1,-0.0990082747651
jw,2,1,1,-0.417825106742
decent,859,590,143,0.674889166332
transmiter,5,5,0,0.642652092905
arses,1,1,0,0.287402457587
outstanding,231,215,10,3.43209372758
stuped,1,0,1,-0.844502448052
disturbing,10,8,0,0.625333046818
groundbreaking,3,2,0,0.232334539626
enjoyment,49,42,5,1.05208835742
diagnotics,1,0,1,-0.844502448052
bck,1,1,0,0.287402457587
sonos,6,6,0,0.703990276803
unbelievable,84,70,14,0.857728937936
walter,2,1,0,0.0704508703826
challenging,29,23,3,0.64249943433
spans,3,2,0,0.232334539626
aready,1,1,0,0.287402457587
essentially,98,61,27,-0.841278707162
passion,16,16,0,1.14961426342
structural,2,2,0,0.406448557866
trinket,3,2,0,0.232334539626
longetivity,1,1,0,0.287402457587
thing,6439,4444,1491,-1.66921487473
enhancement,17,15,1,0.794943852599
pamper,1,1,0,0.287402457587
abundance,8,8,0,0.812898369592
knight,3,0,3,-1.46272192913
abr,1,0,1,-0.844502448052
disadvantage,52,47,2,1.56636471704
tried,2104,913,943,-13.6756862482
gliding,1,1,0,0.287402457587
gauges,2,1,1,-0.417825106742
ipaperweight,2,0,2,-1.19430713474
itip,1,1,0,0.287402457587
catalogues,1,1,0,0.287402457587
reviewes,1,1,0,0.287402457587
yogurt,1,1,0,0.287402457587
wonderously,1,0,1,-0.844502448052
additionaly,1,1,0,0.287402457587
cargador,1,1,0,0.287402457587
crucial,7,5,1,0.140901928047
tobe,1,1,0,0.287402457587
concepts,1,0,1,-0.844502448052
suits,49,46,2,1.61817555584
fortunantly,1,0,1,-0.844502448052
cutsie,1,1,0,0.287402457587
pocketsize,1,1,0,0.287402457587
contractually,1,1,0,0.287402457587
cvouple,1,1,0,0.287402457587
chrome,52,48,3,1.52904701089
mags,2,0,1,-0.817879075575
advantageous,4,3,1,-0.00799322528114
authority,1,1,0,0.287402457587
giggles,3,2,0,0.232334539626
sweeeet,1,1,0,0.287402457587
unfolds,1,1,0,0.287402457587
tigerdirect,13,3,10,-2.16272664091
infuriatingly,2,1,1,-0.417825106742
numbering,2,1,1,-0.417825106742
repititive,1,0,0,-0.241231350177
webform,2,0,2,-1.19430713474
crowd,58,47,7,0.87706899639
forester,1,1,0,0.287402457587
basarili,1,1,0,0.287402457587
tremors,1,1,0,0.287402457587
unbound,1,1,0,0.287402457587
deceide,1,1,0,0.287402457587
effortless,20,16,1,0.720523801557
positions,9,6,1,0.157533214433
synchrorize,1,1,0,0.287402457587
tyranny,4,2,2,-0.590894254792
eargels,1,0,1,-0.844502448052
pictures,1603,1377,129,6.67144822967
eratically,1,1,0,0.287402457587
whistling,2,2,0,0.406448557866
encouter,1,1,0,0.287402457587
dancers,2,1,1,-0.417825106742
retaine,2,2,0,0.406448557866
intrested,4,2,1,-0.262301070495
sins,2,1,1,-0.417825106742
finesse,1,0,1,-0.844502448052
secured,14,6,4,-0.725755172556
utilizing,13,8,1,0.186395978182
segments,11,5,5,-0.964928030955
griped,3,2,0,0.232334539626
shut,361,149,163,-5.92044897761
figit,1,1,0,0.287402457587
ponerme,1,0,1,-0.844502448052
silliest,2,0,1,-0.817879075575
outputting,4,4,0,0.574805358479
reproductor,16,15,1,0.860254149119
wesite,2,0,2,-1.19430713474
cheaper,675,509,109,1.54425509617
us,748,446,246,-3.67649961533
mesh,1,1,0,0.287402457587
tavi,9,4,3,-0.652253742211
talkshow,1,1,0,0.287402457587
coners,1,1,0,0.287402457587
framerate,6,5,0,0.522115417599
hola,1,1,0,0.287402457587
catologe,1,1,0,0.287402457587
wows,1,1,0,0.287402457587
mobile,107,79,15,0.691612182197
chandler,1,0,1,-0.844502448052
clobber,1,1,0,0.287402457587
mouth,22,15,3,0.196564740483
gladwell,1,1,0,0.287402457587
aac,255,198,26,1.79617427736
abouut,1,1,0,0.287402457587
pro,325,244,56,0.905371068828
incapable,8,3,4,-1.02573238481
irregularities,1,1,0,0.287402457587
east,23,15,6,-0.287389551314
rember,1,1,0,0.287402457587
column,5,2,1,-0.336123989925
unfolding,3,1,0,-0.0700093786163
mornings,8,8,0,0.812898369592
mch,1,1,0,0.287402457587
parity,1,1,0,0.287402457587
viewability,1,1,0,0.287402457587
continental,2,2,0,0.406448557866
utility,75,44,17,-0.603767825549
pore,1,1,0,0.287402457587
lalalalalalalalal,1,1,0,0.287402457587
classe,2,2,0,0.406448557866
man,154,111,32,0.134138804196
biding,1,0,1,-0.844502448052
equivilant,1,0,0,-0.241231350177
invincible,3,3,0,0.497795914703
remanned,1,1,0,0.287402457587
